raw_text,clean_text
the web site address for this document is http://cancer.gov/clinicaltrials/understanding/simplification-of-informed-consent-docs/  ,the web site address for this document is http cancer gov clinicaltrials understanding simplification of informed consent docs
[pi] in writing and let [him/her] know that you are withdrawing from the study.  ,pi in writing and let him her know that you are withdrawing from the study
"i will give you an opportunity at the end of the interview/discussion to review your remarks, and you can ask to modify or remove portions of those, if you do not agree with my notes or if i did not understand you  correctly.)   ",i will give you an opportunity at the end of the interview discussion to review your remarks and you can ask to modify or remove portions of those if you do not agree with my notes or if i did not understand you correctly
"for example, while a lay-language, easy-to-read study calendar is a useful tool for study participants, it should not be part of the main consent form but could be included as an optional attachment.",for example while a lay language easy to read study calendar is a useful tool for study participants it should not be part of the main consent form but could be included as an optional attachment
"if you agree to take part, here is what will happen next: 1) choose applicable sentence for the trial: about (insert number)",if you agree to take part here is what will happen next choose applicable sentence for the trial about insert number
"if a question is not clear, please ask your health care provider to explain it.  ",if a question is not clear please ask your health care provider to explain it
"privacy rights: if your information is disclosed to individuals outside the , it may no longer be protected by the federal privacy regulations.",privacy rights if your information is disclosed to individuals outside the it may no longer be protected by the federal privacy regulations
"c. if the experimental arm consists of the usual treatment drugs/regimens (the control arm) plus experimental agent(s)/drug(s), the table of possible side effects for the usual treatment should not be repeated.",c if the experimental arm consists of the usual treatment drugs regimens the control arm plus experimental agent s drug s the table of possible side effects for the usual treatment should not be repeated
the study sponsors (will/will not) offer to pay for medical treatment for injury.,the study sponsors will will not offer to pay for medical treatment for injury
you and your child should talk to the doctor if your child feels any known or unknown side effects.    ,you and your child should talk to the doctor if your child feels any known or unknown side effects
every year in the u.s.,every year in the u s
this discussion will be guided by [name of moderator/guider] or myself.,this discussion will be guided by name of moderator guider or myself
"possible side effects of research radiation therapy common, some may be serious in 100 people receiving radiation therapy, more than 20 and up to 100 may have: * reddening, tanning, or peeling of the skin",possible side effects of research radiation therapy common some may be serious in people receiving radiation therapy more than and up to may have reddening tanning or peeling of the skin
please ask me to stop as we go through the information and i will take time to explain.,please ask me to stop as we go through the information and i will take time to explain
"see the ""who can i talk to?"" section of this form for study team and hrpp contact information.",see the who can i talk to section of this form for study team and hrpp contact information
"at most, the web site will include a summary of the results.",at most the web site will include a summary of the results
"__ consent obtained, explained and witnessed by  _",consent obtained explained and witnessed by
"i also understand i am responsible to provide the necessary information and/or forms to the patient accounting office if i have dental insurance coverage, am an eligible recipient of medical assistance program or if covered by another type of plan or program.  ",i also understand i am responsible to provide the necessary information and or forms to the patient accounting office if i have dental insurance coverage am an eligible recipient of medical assistance program or if covered by another type of plan or program
(insert telephone number of study doctor for main trial).  ,insert telephone number of study doctor for main trial
"if you wish to ask questions later, you may contact any of the following: [name, address/telephone number/e-mail]  ",if you wish to ask questions later you may contact any of the following name address telephone number e mail
"the researchers believe the chance these things will happen is very small, but cannot promise that they will not occur.  ",the researchers believe the chance these things will happen is very small but cannot promise that they will not occur
•          for those of reproductive potential (insert this risk section if applicable to your study) •  ,for those of reproductive potential insert this risk section if applicable to your study
we thank you in advance for participating in the program and enabling us to provide this valuable educational experience.,we thank you in advance for participating in the program and enabling us to provide this valuable educational experience
"if they do occur, it would be within a few minutes to a few hours after the vaccination.",if they do occur it would be within a few minutes to a few hours after the vaccination
a research coordinating office: <<name of group or company>>,a research coordinating office name of group or company
"however, if you do not give permission to use your health information, you may not take part in this study because your health information is needed in order to conduct this study.",however if you do not give permission to use your health information you may not take part in this study because your health information is needed in order to conduct this study
"yes, there are a few types of results that will not be included in the report your doctor gets.   ",yes there are a few types of results that will not be included in the report your doctor gets
"instead of trying to cover everything that might happen during the trial, limit the information to the research issues.",instead of trying to cover everything that might happen during the trial limit the information to the research issues
i have been given the opportunity to ask questions and these questions have been answered to my satisfaction.  ,i have been given the opportunity to ask questions and these questions have been answered to my satisfaction
home address  county  contact phone number job title work address gp name  ,home address county contact phone number job title work address gp name
"in particular: if one of the parents is unable to exercise authority due to incapacity or other impediment (duly documented and supported), authority is exercised exclusively by the other parent if the parents are separated or divorced, exercise of authority rests with the parent to whom the child is entrusted  freedom of choice for a better health service  meaning of informed consent  in the event of imminent danger of serious harm to the child, the parent present may adopt urgent and undelayable measures if a guardian has been named, the doctor will refer to this person as the minor’s representative.",in particular if one of the parents is unable to exercise authority due to incapacity or other impediment duly documented and supported authority is exercised exclusively by the other parent if the parents are separated or divorced exercise of authority rests with the parent to whom the child is entrusted freedom of choice for a better health service meaning of informed consent in the event of imminent danger of serious harm to the child the parent present may adopt urgent and undelayable measures if a guardian has been named the doctor will refer to this person as the minor s representative
it is hoped that the research will [describe benefits to society/ scientific knowledge as applicable].        ,it is hoped that the research will describe benefits to society scientific knowledge as applicable
these consequences have been explained to me by my physician.  ,these consequences have been explained to me by my physician
"state, only if it is applicable, that they will still receive all the services they usually do if they choose not to participate.",state only if it is applicable that they will still receive all the services they usually do if they choose not to participate
otherwise delete].,otherwise delete
"(example: there will be no direct benefit to you, but your participation is likely to help us find out more about how to prevent and  treat malaria in your community).  ",example there will be no direct benefit to you but your participation is likely to help us find out more about how to prevent and treat malaria in your community
2. eliminate repetition of information.,eliminate repetition of information
each patient may respond differently.,each patient may respond differently
risks and benefits of the research: there are no known risks to participating in the research.,risks and benefits of the research there are no known risks to participating in the research
the most common complication of forceps delivery is a mark on the baby which is usually temporary.,the most common complication of forceps delivery is a mark on the baby which is usually temporary
"jeffrey a. hiester, d.d.s. to perform treatment as may be advisable to preserve the health and life of my child or legal ward.",jeffrey a hiester d d s to perform treatment as may be advisable to preserve the health and life of my child or legal ward
"this assignment of benefits fully and completely encompasses any legal claim i may have under the applicable plan or policy of insurance to receive the insurance benefits, including, but not limited to, my rights to appeal any denial of the insurance benefits on my behalf, to pursue legal action against the applicable third-party payer, and/or to file a complaint with the new jersey department of banking and insurance.",this assignment of benefits fully and completely encompasses any legal claim i may have under the applicable plan or policy of insurance to receive the insurance benefits including but not limited to my rights to appeal any denial of the insurance benefits on my behalf to pursue legal action against the applicable third party payer and or to file a complaint with the new jersey department of banking and insurance
we cannot promise complete secrecy.,we cannot promise complete secrecy
"about 20 million people in the u.s. are infected, and about 6.2 million more get infected each year.",about million people in the u s are infected and about million more get infected each year
notes to consent form authors: 1.,notes to consent form authors
• ask your doctor or nurse.,ask your doctor or nurse
information may be stored with other information in your child’s medical record.,information may be stored with other information in your child s medical record
we want to learn what people who live or work here know about the causes of malaria,we want to learn what people who live or work here know about the causes of malaria
"i certify that i speak, read, and write english.  ",i certify that i speak read and write english
they can diagnose and treat the issue promptly.  ,they can diagnose and treat the issue promptly
i agree that the facility is not liable for the care and treatment decisions of the physicians not employed by the facility.,i agree that the facility is not liable for the care and treatment decisions of the physicians not employed by the facility
(indicate if the drug is fda-approved or not).,indicate if the drug is fda approved or not
"text example: phase 2 or 3 randomized studies the purpose of this study is to compare any good and bad effects of using a (specific drug, surgery or radiation approach) along with the usual chemotherapy, surgery or radiation therapy to using the usual chemotherapy, surgery or radiation approach alone.",text example phase or randomized studies the purpose of this study is to compare any good and bad effects of using a specific drug surgery or radiation approach along with the usual chemotherapy surgery or radiation therapy to using the usual chemotherapy surgery or radiation approach alone
"medically acceptable contraceptives include: (1) surgical sterilization (such as a tubal ligation or hysterectomy), (2) approved hormonal contraceptives (such as birth control pills, patches, implants or injections), (3) barrier methods (such as a condom or diaphragm) used with a spermicide, or (4) an intrauterine device (iud).",medically acceptable contraceptives include surgical sterilization such as a tubal ligation or hysterectomy approved hormonal contraceptives such as birth control pills patches implants or injections barrier methods such as a condom or diaphragm used with a spermicide or an intrauterine device iud
"____, being the parent/legal guardian of [full name of the person giving consent for this procedure/treatment]  ",being the parent legal guardian of full name of the person giving consent for this procedure treatment
what	   surgeries	   have	   you	   had?,what surgeries have you had
"for example, subjects on a diabetes drug may experience loss of control of their diabetes unless they are switched to another medication.",for example subjects on a diabetes drug may experience loss of control of their diabetes unless they are switched to another medication
this type of sedation reduces pain and awareness of the procedure while allowing the patient to breathe on his/her own and to respond to verbal commands and/or gentle stimulation.,this type of sedation reduces pain and awareness of the procedure while allowing the patient to breathe on his her own and to respond to verbal commands and or gentle stimulation
but vaccinated women still need cervical cancer screening because the vaccine does not protect against all hpv types that cause cervical cancer.  ,but vaccinated women still need cervical cancer screening because the vaccine does not protect against all hpv types that cause cervical cancer
forename  surname  date of birth  male  /  female  (circle appropriate)  ,forename surname date of birth male female circle appropriate
with this type of anesthesia a small tube (catheter) is inserted into the epidural space so that additional anesthetic agent can be injected as needed.,with this type of anesthesia a small tube catheter is inserted into the epidural space so that additional anesthetic agent can be injected as needed
but it could also cause side effects.,but it could also cause side effects
"(modify the following sentence to be consistent with the study) for patients who receive the usual approach for this cancer, about (insert appropriate number) out of 100 are free of cancer at five years.  ",modify the following sentence to be consistent with the study for patients who receive the usual approach for this cancer about insert appropriate number out of are free of cancer at five years
__ license,license
a physician or a nurse may administer conscious sedation.,a physician or a nurse may administer conscious sedation
the nci has recommended that hipaa regulations be addressed by the local institution.,the nci has recommended that hipaa regulations be addressed by the local institution
this drug has been tested in animals but not yet in people.,this drug has been tested in animals but not yet in people
you will be asked to [describe any procedures for orderly termination from the protocol.,you will be asked to describe any procedures for orderly termination from the protocol
3) researchers to whom (insert name of clinical trials organization) sends your sample and information will not know who you are.,researchers to whom insert name of clinical trials organization sends your sample and information will not know who you are
"there are laws against misuse of genetic information, but they may not give full protection.",there are laws against misuse of genetic information but they may not give full protection
"2. include two titles: a. the reader-friendly lay title, which is called the ""study title for study participants"".",include two titles a the reader friendly lay title which is called the study title for study participants
what if i have more questions?,what if i have more questions
the example used here is for a community social worker.,the example used here is for a community social worker
"the treatment your child gets will be chosen by chance, like flipping a coin.",the treatment your child gets will be chosen by chance like flipping a coin
gold coast health | public health unit  school immunisation program consent form year 7 school  class  student details surname given names date of birth  /  /  gender  male  medicare no.  ,gold coast health public health unit school immunisation program consent form year school class student details surname given names date of birth gender male medicare no
"please note: if the only alternative is not to participate, please leave this section out of the consent form.  ",please note if the only alternative is not to participate please leave this section out of the consent form
"mrn:  request and consent to medical, surgical, radiological or other procedures  name: birthdate: csn enter patient information or apply patient label to all pages  1.",mrn request and consent to medical surgical radiological or other procedures name birthdate csn enter patient information or apply patient label to all pages
"b. rarely, a tear in the uterus may occur.",b rarely a tear in the uterus may occur
[include if there are benefits to participation.,include if there are benefits to participation
providing services in a timely manner is critical to accomplish that goal.,providing services in a timely manner is critical to accomplish that goal
we want you to understand and partner in your care plans.  ,we want you to understand and partner in your care plans
"many times the tmj, even though the damage had begun long before the orthodontic treatment, because of the subtle changes in the bite through treatment, symptoms of this damage such as clicking, popping, crackling, pain, headaches, etc.",many times the tmj even though the damage had begun long before the orthodontic treatment because of the subtle changes in the bite through treatment symptoms of this damage such as clicking popping crackling pain headaches etc
"* anemia which may require blood transfusion * diarrhea, nausea, vomiting * difficulty swallowing * tiredness * bruising, bleeding * numbness and tingling of the arms and legs * increased risk of sunburn  ",anemia which may require blood transfusion diarrhea nausea vomiting difficulty swallowing tiredness bruising bleeding numbness and tingling of the arms and legs increased risk of sunburn
"i agree to pay for charges not covered by the assignment of benefits described in this section, including, but not limited to, any applicable health insurance deductibles, copayments, and/or coinsurance amounts provided under any plan or policy of insurance; and charges not covered by a plan or policy of insurance.",i agree to pay for charges not covered by the assignment of benefits described in this section including but not limited to any applicable health insurance deductibles copayments and or coinsurance amounts provided under any plan or policy of insurance and charges not covered by a plan or policy of insurance
"if no, what language is spoken?  ",if no what language is spoken
this result greatly reduces the likelihood that you have a mutation in the genes tested (see limitations of testing).,this result greatly reduces the likelihood that you have a mutation in the genes tested see limitations of testing
"researchers hope this kind of (insert descriptor - scan or procedure) might one day be used to (briefly describe purpose, e.g., learn more about cancer and how treatment works on cancer).",researchers hope this kind of insert descriptor scan or procedure might one day be used to briefly describe purpose e g learn more about cancer and how treatment works on cancer
the  result would not take away whatever current diagnoses doctors may have given for your condition.   ,the result would not take away whatever current diagnoses doctors may have given for your condition
there will be about (insert number) people taking part in this study.  ,there will be about insert number people taking part in this study
do you have any questions?    ,do you have any questions
"representative’s address：  if you refuse to have an mri scan, please read the following statement.",representative s address if you refuse to have an mri scan please read the following statement
i understand i can withdraw this consent at any time.,i understand i can withdraw this consent at any time
risks of radiation: (insert this risk statement if applicable to your study) please see the following website for specific radiation safety language:  www.safety.duke.edu/radsafety/consents/default.asp  risks of drawing blood: (insert this risk statement if applicable to your study) risks associated with drawing blood from your arm include momentary discomfort and/or bruising.  ,risks of radiation insert this risk statement if applicable to your study please see the following website for specific radiation safety language www safety duke edu radsafety consents default asp risks of drawing blood insert this risk statement if applicable to your study risks associated with drawing blood from your arm include momentary discomfort and or bruising
"1 also agree that fellows, residents and surgical assistants may participate in signiﬁcant tasks that are part of the procedure.",also agree that fellows residents and surgical assistants may participate in signi cant tasks that are part of the procedure
your test results will be identified by a unique code and the list that links the code to your name will be kept separate from your sample and health information.,your test results will be identified by a unique code and the list that links the code to your name will be kept separate from your sample and health information
"___, the purpose of which is to hip arthritis.",the purpose of which is to hip arthritis
"duration  include a statement about the time commitments of the research for the participant including both the duration of the research and follow-up, if relevant.  ",duration include a statement about the time commitments of the research for the participant including both the duration of the research and follow up if relevant
do you grind your teeth during the day?,do you grind your teeth during the day
"the researchers want to see if (insert name of intervention, e.g., pet) scans are better or the same as what is usually used, (insert name of usual approach, e.g., ct) scans, at diagnosing or monitoring your type of cancer.",the researchers want to see if insert name of intervention e g pet scans are better or the same as what is usually used insert name of usual approach e g ct scans at diagnosing or monitoring your type of cancer
"* sores in the throat or mouth * a tear or hole in internal organs that may require surgery * chills, fever * difficulty walking, opening mouth, with balance and hearing, smelling, eating, sleeping, talking or emptying the bladder * swelling and redness at the site of the medication injection",sores in the throat or mouth a tear or hole in internal organs that may require surgery chills fever difficulty walking opening mouth with balance and hearing smelling eating sleeping talking or emptying the bladder swelling and redness at the site of the medication injection
"section length limit: if the study has extra tests and procedures, this section is required but should be as brief as possible and take up no more than one-half page.",section length limit if the study has extra tests and procedures this section is required but should be as brief as possible and take up no more than one half page
" cesarean deliveries  surgery through a body orifice that does not involve laterality of the organ (e.g., cystoscopy)",cesarean deliveries surgery through a body orifice that does not involve laterality of the organ e g cystoscopy
"these would include laboratory tests such as your blood counts and tests to measure the function of your liver and kidneys, [other study specific tests], and [x-rays or scans of [   ]].  ",these would include laboratory tests such as your blood counts and tests to measure the function of your liver and kidneys other study specific tests and x rays or scans of
"i have had the opportunity to ask and have had answered to my satisfaction all of my questions about the procedure, including any questions about blood transfusions, anesthesia, and radiation.",i have had the opportunity to ask and have had answered to my satisfaction all of my questions about the procedure including any questions about blood transfusions anesthesia and radiation
"for single arm phase 2 studies, indicate what is known about the drug/approach and indicate the amount of improvement (e.g., tumor shrinkage by one quarter is expected compared to the tumor's present size).",for single arm phase studies indicate what is known about the drug approach and indicate the amount of improvement e g tumor shrinkage by one quarter is expected compared to the tumor s present size
"this study will allow the researchers to know whether this different approach is better, the same, or worse than the usual approach.",this study will allow the researchers to know whether this different approach is better the same or worse than the usual approach
the lab would report it as a “variant with uncertain significance”  if there is evidence strongly suggesting that it is related to your condition.    ,the lab would report it as a variant with uncertain significance if there is evidence strongly suggesting that it is related to your condition
a computer will by chance assign you to treatment groups in the study.,a computer will by chance assign you to treatment groups in the study
"risks of washout: (insert this risk statement if applicable to your study) during the washout period, your symptoms of _",risks of washout insert this risk statement if applicable to your study during the washout period your symptoms of
the same measures described above will be taken to protect confidentiality of this study data.,the same measures described above will be taken to protect confidentiality of this study data
"___"", indicates that the local investigator should provide the appropriate information before submitting to the irb.  ",indicates that the local investigator should provide the appropriate information before submitting to the irb
that the procedure(s)/treatment(s) may be performed by another doctor.,that the procedure s treatment s may be performed by another doctor
"in addition to federal regulations, massachusetts state regulations govern the use of fetal tissue for research (m.g.l. chapter 112, section 12j).  ",in addition to federal regulations massachusetts state regulations govern the use of fetal tissue for research m g l chapter section j
notes to researchers: 1. please note that this is a template developed by the who erc to assist the principal investigator in the design of their informed consent forms (icf).,notes to researchers please note that this is a template developed by the who erc to assist the principal investigator in the design of their informed consent forms icf
i understand that the bridge/crown/denture is another procedure that will be placed at a later date and the fees are separate from the implant fee.,i understand that the bridge crown denture is another procedure that will be placed at a later date and the fees are separate from the implant fee
_ i hereby authorize dr.,i hereby authorize dr
__ complete address,complete address
"before you agree, the study doctor must tell you about:  ",before you agree the study doctor must tell you about
"as a result, i agree to have an mri scan.",as a result i agree to have an mri scan
"yes no if	   yes,	   list",yes no if yes list
""" also include whether or not the results will be available to the study participant or study doctor.]  ",also include whether or not the results will be available to the study participant or study doctor
"[provide more information about follow-up interviews including when they would occur, how many there would be, types of questions if different from the original questions, etc.]  ",provide more information about follow up interviews including when they would occur how many there would be types of questions if different from the original questions etc
i acknowledge that no guarantees or assurances have been made to me concerning the results of the procedure(s).  ,i acknowledge that no guarantees or assurances have been made to me concerning the results of the procedure s
_ a.m. / p.m. printed name of legally authorized representative (if patient is a minor or (mm/dd/yyyy) unable to sign) relationship: spouse parent next-of-kin legal guardian dpoa for healthcare page 3 of 3  medical record  consent – procedure / treatment / evaluation  note: image all pages or send all pages to health information management – including pages without a signature section  ,a m p m printed name of legally authorized representative if patient is a minor or mm dd yyyy unable to sign relationship spouse parent next of kin legal guardian dpoa for healthcare page of medical record consent procedure treatment evaluation note image all pages or send all pages to health information management including pages without a signature section
"placeholders for protocol-specific details, e.g., drug/intervention names and descriptions, are in italics; however, regular font should be used when inserting the details into the suggested consent form language.  ",placeholders for protocol specific details e g drug intervention names and descriptions are in italics however regular font should be used when inserting the details into the suggested consent form language
(if the sponsor is responsible for costs) there will be no additional costs to you as a result of being in this study.  ,if the sponsor is responsible for costs there will be no additional costs to you as a result of being in this study
"examples of extra exams, tests and procedures:",examples of extra exams tests and procedures
[note: the consent document cannot give the subject the option of having data removed].,note the consent document cannot give the subject the option of having data removed
[include for research involving prisoners.,include for research involving prisoners
your decision will not change any present or future relationships with the university of wisconsin milwaukee.,your decision will not change any present or future relationships with the university of wisconsin milwaukee
this injection may help the physician more accurately diagnose your condition.,this injection may help the physician more accurately diagnose your condition
"* all hospitalizations, outpatient visits and telephone or written follow-up.",all hospitalizations outpatient visits and telephone or written follow up
our number one concern is our patient’s dental health.,our number one concern is our patient s dental health
these options should be discussed with your doctor.  ,these options should be discussed with your doctor
"i understand, that the results will be automatically transmitted to my electronic medical records in the  nyph and columbia university emrs.",i understand that the results will be automatically transmitted to my electronic medical records in the nyph and columbia university emrs
"the researchers can use this certificate to legally refuse to disclose information that may identify you in any federal, state, or local civil, criminal, administrative, legislative, or other proceedings, for example, if there is a court subpoena.",the researchers can use this certificate to legally refuse to disclose information that may identify you in any federal state or local civil criminal administrative legislative or other proceedings for example if there is a court subpoena
[describe any consequence of withdrawal.,describe any consequence of withdrawal
"however, possible benefits include <<list",however possible benefits include list
i certify that the information given by me in applying for payment under title xviii of the social security act is correct.,i certify that the information given by me in applying for payment under title xviii of the social security act is correct
"procedures if you agree to participate in my research, i will conduct an interview with you at a time and location of your choice.  ",procedures if you agree to participate in my research i will conduct an interview with you at a time and location of your choice
"(complete surveys, drug diaries, etc.)",complete surveys drug diaries etc
"all of the above has been explained to me, to my satisfaction, and my signature below attests to the same.   ",all of the above has been explained to me to my satisfaction and my signature below attests to the same
signature of patient date time  ,signature of patient date time
recommendations about attachments to the consent form (cf)  ,recommendations about attachments to the consent form cf
"the purpose of this study is to test whether giving one of the drugs (insert name of drug, e.g., carboplatin) through the belly along with the other drug (insert name of drug, e.g., paclitaxel) by vein is safe.",the purpose of this study is to test whether giving one of the drugs insert name of drug e g carboplatin through the belly along with the other drug insert name of drug e g paclitaxel by vein is safe
"are	   you	   now,	   or	   have	   you	   recently	   been	   under	   the	   care	   of	   a	   physician?",are you now or have you recently been under the care of a physician
"fortunately, adverse events are rare.  ",fortunately adverse events are rare
"4. for randomized studies, if the assignment is not 1:1, include a brief description of the assignment.",for randomized studies if the assignment is not include a brief description of the assignment
it is important  that you discuss these implications with your genetic counselor.  ,it is important that you discuss these implications with your genetic counselor
"if you are not asked to complete a survey after the study is over, but you would like to share feedback, please contact the study team or the human research protection program (hrpp).",if you are not asked to complete a survey after the study is over but you would like to share feedback please contact the study team or the human research protection program hrpp
"i understand this covers my perioperative/periprocedural (before, during, and after the surgery/procedure) course of treatment.",i understand this covers my perioperative periprocedural before during and after the surgery procedure course of treatment
__ printed name of person obtaining consent and assent     was an interpreter utilized to obtain consent?      	,printed name of person obtaining consent and assent was an interpreter utilized to obtain consent
"a translator who is either one of the investigators conducting this research study or their representative has explained to me (a) the purposes, procedures, and duration of the research; (b) any procedures which are experimental; (c) any reasonably foreseeable risks, discomforts, and benefits of the research; (d) any potentially beneficial alternative procedures or treatments; and (e) who may see my research records and how the records will be kept confidential.",a translator who is either one of the investigators conducting this research study or their representative has explained to me a the purposes procedures and duration of the research b any procedures which are experimental c any reasonably foreseeable risks discomforts and benefits of the research d any potentially beneficial alternative procedures or treatments and e who may see my research records and how the records will be kept confidential
[note: include this paragraph if the study is taking place in a school:  ,note include this paragraph if the study is taking place in a school
did you bring your immunization record card with you?  ,did you bring your immunization record card with you
you will not lose medical care or any legal rights.  ,you will not lose medical care or any legal rights
you should inform your partner of the potential for harm to an unborn child.  ,you should inform your partner of the potential for harm to an unborn child
"do you take, or have you taken, phen-fen or redux?",do you take or have you taken phen fen or redux
"* damage to the heart which may cause swelling * chest pain * heart attack which may cause chest pain, shortness of breath  study group 2 - in addition to side effects outlined above, people who are in group 2 may also experience the possible side effects of bevacizumab listed below.  ",damage to the heart which may cause swelling chest pain heart attack which may cause chest pain shortness of breath study group in addition to side effects outlined above people who are in group may also experience the possible side effects of bevacizumab listed below
they can show you the vaccine package insert or suggest other sources of information.,they can show you the vaccine package insert or suggest other sources of information
"you may  choose whether or not to be informed of this information, in case it is revealed during the testing.     ",you may choose whether or not to be informed of this information in case it is revealed during the testing
* the study doctors do not know who will or will not have side effects.,the study doctors do not know who will or will not have side effects
"however, the researchers will do their best to make sure that any information that is released will not identify you.",however the researchers will do their best to make sure that any information that is released will not identify you
[omit the signature page if there is no written documentation of consent].,omit the signature page if there is no written documentation of consent
thank you for answering the following questions.  ,thank you for answering the following questions
results of tests and studies done solely for this research study and not as part of your regular care will [also] or [not] be included in your medical record.	 ,results of tests and studies done solely for this research study and not as part of your regular care will also or not be included in your medical record
"all of the blood, urine and x-ray studies are being done only because you are in this study.  ",all of the blood urine and x ray studies are being done only because you are in this study
i understand that treatment of dental conditions pertaining to orthodontic treatment (straightening or repositioning of teeth),i understand that treatment of dental conditions pertaining to orthodontic treatment straightening or repositioning of teeth
"i agree and understand that if i request a private room, i am responsible to pay the amount not covered by my insurance.",i agree and understand that if i request a private room i am responsible to pay the amount not covered by my insurance
section length limit: limit this section to two to four pages maximum.,section length limit limit this section to two to four pages maximum
"(insert purpose of biomarker test, e.g., decide who should be enrolled in this study or decide which study group you will be in).",insert purpose of biomarker test e g decide who should be enrolled in this study or decide which study group you will be in
"contact information: to learn more about this study, contact the tissue procurement director .",contact information to learn more about this study contact the tissue procurement director
signature block for adult by signing below,signature block for adult by signing below
"whenever appropriate, include an estimate of the expected outcome if the usual approach is utilized.",whenever appropriate include an estimate of the expected outcome if the usual approach is utilized
this research may hurt your child in the following ways:,this research may hurt your child in the following ways
i understand that sedation may prove partially or completely ineffective in managing my child or legal ward.,i understand that sedation may prove partially or completely ineffective in managing my child or legal ward
"if you decide to leave the research, contact the investigator so that the investigator can [describe the procedures for orderly termination by the participant, if any.]   ",if you decide to leave the research contact the investigator so that the investigator can describe the procedures for orderly termination by the participant if any
not part of permanent record.,not part of permanent record
sheet - anesthesia - given to patient.,sheet anesthesia given to patient
"if you choose to take part in this study, you will have an experimental (insert descriptor - scan or procedure) called (insert name of investigational imaging scan/procedure).",if you choose to take part in this study you will have an experimental insert descriptor scan or procedure called insert name of investigational imaging scan procedure
"if you withdraw from the study, no new data about you will be collected for study purposes unless the data concern an adverse event (a bad effect) related to the study.  ",if you withdraw from the study no new data about you will be collected for study purposes unless the data concern an adverse event a bad effect related to the study
"you can still take part in the main study even if you say ""no"" to any or all of these studies.",you can still take part in the main study even if you say no to any or all of these studies
otherwise delete.],otherwise delete
such a variant may or  may not be the cause of your symptoms.,such a variant may or may not be the cause of your symptoms
"(note to informed consent authors: in specific instances, if this statement is not accurate and information may be given to study doctors, please include appropriate notification information.)",note to informed consent authors in specific instances if this statement is not accurate and information may be given to study doctors please include appropriate notification information
"if i decide to participate in research in the future, i will instruct the laboratory, and there will  be a requirement of a separate irb-approved consent).  ",if i decide to participate in research in the future i will instruct the laboratory and there will be a requirement of a separate irb approved consent
"the most common complications associated with their induction include pain and bruising (hematoma) at the site, and, less frequently, phlebitis.",the most common complications associated with their induction include pain and bruising hematoma at the site and less frequently phlebitis
not part of permanent record.,not part of permanent record
"a  literate witness must sign (if possible, this person should be selected by the participant and should have no connection to the research team).",a literate witness must sign if possible this person should be selected by the participant and should have no connection to the research team
"if you take heart, high blood pressure, seizures, or psychotropic medications they should be taken the morning of surgery with a sip of water.",if you take heart high blood pressure seizures or psychotropic medications they should be taken the morning of surgery with a sip of water
"if you understand it, please sign below.",if you understand it please sign below
this can be repeated and expanded upon later in the form as well.,this can be repeated and expanded upon later in the form as well
"if yes, specify what the remuneration is, who it will be disbursed to, and its purpose:        protected health information (phi) provided to tissue bank if phi will not be provided to the tissue bank, then check n/a and go to the next section, n/a:  ",if yes specify what the remuneration is who it will be disbursed to and its purpose protected health information phi provided to tissue bank if phi will not be provided to the tissue bank then check n a and go to the next section n a
"text example: imaging studies (diagnostic, staging, or response to therapy) the purpose of this study is to test (insert name of research intervention, e.g., pet) scans, which are a different way to take pictures of your type of cancer.",text example imaging studies diagnostic staging or response to therapy the purpose of this study is to test insert name of research intervention e g pet scans which are a different way to take pictures of your type of cancer
